id,source_name,title,author_name,publish_date,accident_date,content,tags,day_of_the_week,time,time_in_hours,rush_hour,weekend_weekday,locality,road_name,road_type,vehicle_count,vehicle_involved,male_count,female_count,total_driver_count,min_age,max_age,young_driver_involved,adult_driver_involved,senior_driver_involved,child_involved,senior_involved,visibility,wind_speed,temperature,severity,ambulance_called,additional_source_name,additional_url
11,police,Motorcycle accident in Naxxar,,16/03/2025,16/03/2025,"This morning at around 0800hrs, a 40-year-old man from Ħaż-Żabbar, was hospitalised at Mater Dei following a traffic accident along the Coast Road in Naxxar.Preliminary investigations showed that the man was riding a Honda CBR motorcycle, lost control and crashed.He was assisted by a medical team and taken to hospital by an ambulance. Later he was certified with serious injuries.Magistrate Dr Joseph Mifsud LL.D was informed about the case and appointed a Magisterial Inquiry whilst Police investigation is still on going.",{},Sunday,morning,800,1,weekend,Naxxar,Coast Road,bypass,1.0,motorcycle,1.0,0.0,1.0,40.0,40.0,0.0,1.0,0.0,0.0,0.0,10.0,27.8,16.0,med,1.0,,
12,police,Italian woman grievously injured in a traffic accident,,22/04/2025,22/04/2025,"An Italian woman was taken to Mater Dei Hospital for some injuries she suffered in a traffic accident in Cospicua Seafront, Cospicua at around 1300hrs.It resulted from initial investigations that the victim was hit by a Nissan March, which was being driven by a 48-year-old man from Kalkara.The woman was assisted by a medical team, taken to hospital by an ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",{},Tuesday,afternoon,1300,0,weekday,Cospicua,Cospicua Seafront,residential,1.0,car-pedestrian,1.0,1.0,1.0,33.0,48.0,0.0,1.0,0.0,0.0,0.0,10.0,13.0,22.0,high,1.0,,
13,police,Woman grievously injured in traffic accident,,08/05/2025,08/05/2025,"A 32-year-old woman who lives in Għajnsielem, Gozo, at around 1015hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Żabbar Road, Fgura.Preliminary investigations showed that the victim was hit by a Ford Fiesta, which was being driven by a 78-year-old man residing in Marsascala.The woman was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",{},Thursday,morning,1015,0,weekday,Fgura,Zabbar Road,main road,1.0,car-pedestrian,1.0,1.0,1.0,32.0,78.0,0.0,0.0,1.0,0.0,1.0,10.0,14.8,24.0,high,1.0,,
14,police,Xewkija traffic accident,,14/06/2025,13/06/2025,"Yesterday evening, at around ten (2200 hrs), the Police were informed of a traffic accident in Triq Sant ‘Elizabetta, Xewkija.From initial investigations it appears that a 64-year-old man from Xagħra was riding a Kentoya motorcycle when he crashed into a barrier and fell off.He was assisted by a medical team and taken by ambulance to the Gozo General Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",{},Friday,evening,2200,0,weekday,Xewkija,Triq Sant ‘Elizabetta,residential,1.0,motorcycle,1.0,0.0,1.0,64.0,64.0,0.0,0.0,1.0,0.0,1.0,10.0,3.7,24.0,high,1.0,,
15,police,Woman grievously injured in traffic accident,,24/09/2025,24/09/2025,"A 77-year-old woman residing in Valletta, at around 0830hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Sa Maison Street, Tal-Pietà.Preliminary investigations showed that the victim was hit by a Hyundai I10, which was being driven by a 75-year-old man residing in Tas-Sliema.The woman was assisted by a medical team, taken to hospital by ambulance and certified that she was grievously injured.Police investigations are ongoing.",{},Wednesday,morning,830,0,weekday,Pieta,Sa Maison Street,main road,1.0,car-pedestrian,1.0,1.0,1.0,72.5,77.0,0.0,0.0,1.0,0.0,1.0,10.0,16.7,27.0,high,1.0,,
16,police,Man grievously injured in a traffic accident,,17/04/2025,17/04/2025,"An 80-year-old man, a resident of Santa Luċija, was taken to Mater Dei Hospital for some injuries he sustained in a traffic accident in Luqa Road, Luqa.It resulted from initial investigations that the victim was hit by Nissan NV 200, which was being driven by a 22-year-old man from Għaxaq.The man was assisted by a medical team, taken to hospital by an ambulance and later certified to have sustained grievous injuries.Police investigations are ongoing.",{},Thursday,morning,0,0,weekday,Luqa,Luqa Road,residential,1.0,van-pedestrian,2.0,0.0,1.0,22.0,80.0,1.0,0.0,0.0,0.0,1.0,,22.95653992395437,22.890151515151516,high,1.0,,
17,police,Traffic accident in Paola,,21/02/2025,21/02/2025,"Two persons were injured in a collision which occurred early this morning in Triq il-Baċir, Paola.At around half past seven 0730hrs, when the Police were informed of a traffic accident in which a Toyota Ractis driver, an 80-year-old man from Paola, lost control and crashed into a wall. Another 80-year-old man from Paola was also a passenger in the same vehicle.A medical team was called on site and an ambulance took the two men to Mater Dei Hospital. They were later certified to have sustained grievous injuries.Police investigations into the accident are ongoing.",{},Friday,morning,730,1,weekday,Paola,Triq il-Bacir,main road,1.0,car,2.0,0.0,1.0,72.5,80.0,0.0,0.0,1.0,0.0,1.0,10.0,7.41,10.0,high,1.0,,
18,police,Girl grievously injured in a traffic accident,,22/12/2024,22/12/2024,"A 13-year-old girl, at around 1015hrs, was taken to Mater Dei Hospital after being injured in a traffic accident in Triq Sir Philip Pullicino, Mtarfa.Preliminary investigations showed that the girl, who was riding a bicycle, was hit by a Ford B Max that was being driven by a 25-year-old man from Mtarfa.The girl was assisted by a medical team, taken to hospital by an ambulance and later certified to have sustained grievous injuries.Police investigations are ongoing",{},Sunday,morning,1015,0,weekend,Mtarfa,Triq Sir Philip Pullicino,residential,2.0,car-bicycle,1.0,1.0,1.0,13.0,25.0,1.0,0.0,0.0,1.0,0.0,10.0,22.2,15.0,high,1.0,,
19,police,A collission in Floriana,,21/05/2025,21/05/2025,"A 61-year-old coachman was grievously injured in an accident which occurred at around 1330 hrs in Triq Nazzjonali, Floriana.Preliminary investigations showed that a collision took place between a coachman who resides in Qormi and a Peugeot 508 driven by a 31-year-old man from Cospicua.A medical team was called on site and an ambulance took the man to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations into the accident are ongoing.",{},Wednesday,afternoon,1330,0,weekday,Floriana,Triq Nazzjonali,main road,2.0,car-coachman,2.0,0.0,2.0,31.0,61.0,0.0,1.0,1.0,0.0,1.0,10.0,16.7,26.0,high,1.0,,
20,police,Man seriously injured in traffic accident,,14/09/2025,13/09/2025,"A 54-year-old man, a resident of Marsa, sustained serious injuries after he was involved in a traffic accident in Triq il-Perit Dom Mintoff, Paola yesterday at around 9pm (2100 hrs).From initial investigations it appears that for some reason the driver who was driving a Honda Fit lost control and crashed into an electricity pole.A medical team assisted the man and was taken to Mater Dei Hospital by ambulance.Magistrate Dr Monica Borg Galea LL.D. was informed and appointed an inquiry while Police investigations in connection with this incident are ongoing.",{},Saturday,evening,2100,0,weekend,Paola,Triq il-Perit Dom Mintoff,roundabout,1.0,car,1.0,0.0,1.0,54.0,54.0,0.0,1.0,0.0,0.0,0.0,10.0,5.56,25.0,med,1.0,,
21,police,Man grievously injured in traffic accident,,30/08/2025,29/08/2025,"Yesterday, at around quarter past three in the afternoon (1515 hrs), the Police were informed of a traffic accident in Triq Emmanuele Luigi Galizia, Marsa.Preliminary investigations showed that a collision occurred between a Daelim motorcycle driven by a 55-year-old man from Birżebbuġa and a BMW 318 driven by a 33-year-old woman from Luqa. A 74-year-old man from Luqa was passenger in the car.The motorcyclist was assisted by a medical team and taken to Mater Dei Hospital by ambulance, where he was later certified to have sustained grievous injuries.Police investigations are ongoing.",{},Friday,afternoon,1515,0,weekday,Marsa,Triq Emmanuele Luigi Galizia,main road,2.0,car-motorcycle,1.0,1.0,2.0,33.0,55.0,0.0,1.0,0.0,0.0,1.0,10.0,20.4,29.0,high,1.0,,
22,police,Traffic accident in Gudja,,14/12/2024,13/12/2024,"Yesterday, at around (1945hrs), the police were informed of a traffic accident in Dawret il-Gudja, Gudja.Preliminary investigations showed that a collision occurred between a Skoda Fabia driven by a 50-year-old man from Gudja and a Ford Fiesta, who at the time was on the side of the road with a puncture.At the time of the impact, a 29-year-old man from Birzebbugia was injured after he was trapped between the two vehicles.The victim was assisted by a medical team, taken to Mater Dei Hospital by ambulance and certified with serious injuries.Magistrate Dr Ian Farrugia LL. D was informed of the case and appointed an inquiry.Civil Protection Department personnel were also on site to assist.Police investigations are still ongoing.",{},Friday,evening,1945,0,weekday,Gudja,Triq Dawret il-Gudja,bypass,2.0,car-car,2.0,0.0,1.0,29.0,50.0,0.0,1.0,0.0,0.0,0.0,10.0,24.1,19.0,med,1.0,,
23,police,Man grievously injured in traffic accident,,07/05/2025,07/05/2025,"A 53-year-old man who lives in Msida, at around 1000hrs, was taken to Mater Dei Hospital because he was injured in a traffic accident in Triq L. Zamenhof corner with Triq Xmiexi, Msida.Preliminary investigations showed that the man was hit by a Ford Transit, which was being driven by a 24-year-old man also residing in Msida.The man was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",{},Wednesday,morning,1000,0,weekday,Msida,Triq Xmiexi,residential,1.0,van-pedestrian,2.0,0.0,1.0,24.0,53.0,1.0,0.0,0.0,0.0,0.0,10.0,20.4,24.0,high,1.0,,
24,police,Traffic accident in Birżebbuġa,,07/05/2025,07/05/2025,"Today, at around 1315 hrs, the Police were informed of a traffic accident in Triq Għar Dalam, Birżebbuġa.Preliminary investigations showed that a collision occurred between a Peugeot partner that was being driven by a 23-year-old Albanian from Birżebbuġa and a Honda NSS motorcycle that was being driven by a 34-year-old man from Zejtun.A medical team was called on site and an ambulance took the biker to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations into the accident are ongoing.",{},Wednesday,afternoon,1315,0,weekday,Birzebbuga,Triq Ghar Dalam,bypass,2.0,car-motorcycle,2.0,0.0,2.0,23.0,34.0,1.0,1.0,0.0,0.0,0.0,10.0,18.5,25.0,high,1.0,,
25,police,Marsa traffic accident,,27/12/2024,27/12/2024,"Today, at about 0745hrs, the Police were informed of a traffic accident in Triq Diċembru Tlettax, Marsa.The Police went immediately on site and preliminary investigations showed that a 36-year-old Turkish national, resident in Zabbar, lost control of the Toyota Vitz he was driving and crashed into the barriers and a pole.The victim was assisted by a medical team, taken to Mater Dei Hospital by ambulance and certified to have sustained grievous injuries.Civil Protection Department personnel were also on site to assist.Police investigations are still ongoing.",{},Friday,morning,745,1,weekday,Marsa,Triq Dicembru Tlettax,bypass,1.0,car,1.0,0.0,1.0,36.0,36.0,0.0,1.0,0.0,0.0,0.0,10.0,16.7,13.0,high,1.0,,
26,police,Motorcycle accident in Marsa,,04/05/2025,04/05/2025,"A 43-year-old Nepalese man and residing in Msida, at around 1430hrs, was taken to Mater Dei Hospital because he was injured in a traffic accident in December 13 Road, Marsa.Preliminary investigations showed that the man was riding a Kymco motorcycle, lost control and crashed into a pole.He was assisted by a medical team, taken to hospital by ambulance and certified to have sustained serious injuries.Magistrate Dr Ian Farrugia LL.D was informed of the case and appointed an inquiry, while Police investigations are ongoing",{},Sunday,afternoon,1430,0,weekend,Marsa,Triq Dicembru Tlettax,bypass,1.0,motorcycle,1.0,0.0,1.0,43.0,43.0,0.0,1.0,0.0,0.0,0.0,10.0,18.5,22.0,med,1.0,,
27,police,Attard fatal accident,,07/01/2025,07/01/2025,"A 25-year-old man, a resident of Mtarfa, lost his life late last night in a traffic accident in Attard.The accident occurred at around 2120hrs in Triq L-Imdina.Preliminary investigations showed that the victim was driving a Mercedes, lost control and as a result the car crashed into a tree. Police, medical teams from Mater Dei and members of the Civil Protection Department were immediately called on site. Unfortunately, the man was certified dead on the spot.Magistrate Dr Ian Farrugia LL.D appointed an inquiry assisted by various experts, while Police investigations in connection with this incident are still ongoing.",{},Tuesday,evening,2120,0,weekday,Attard,Triq-Imdina,bypass,1.0,car,1.0,0.0,1.0,25.0,25.0,0.0,1.0,0.0,0.0,0.0,10.0,18.4,14.0,fatal,1.0,,
28,police,Traffic accident in Gudja,,05/10/2025,05/10/2025,"Late yesterday evening, at around 11:00 p.m. (2300hrs), the Police were informed of a traffic accident in Triq Dawret il-Gudja, Gudja.Police immediately went to the scene, and from preliminary investigations it resulted that a collision had occurred between a Suzuki Baleno driven by a 49-year-old man from Swieqi and a Hyundai Getz driven by a 19-year-old from San Ġwann. Followwing the intial impact, the Hyundai veered into the opposite lane and collided with a Renault Captur.The Renault was driven by a 50-year-old man. Also inside the vehicle were two women aged 69 and 43, as well as a 14-year-old girl and a 14-year-old boy, all residents of Rabat.A medical team was called to the scene, and an ambulance took the 43-year-old woman together with the two children to Mater Dei Hospital. Later, the 14-year-old boy was certified to have suffered grievous injuries, while the girl and the 43-year-old woman suffered slight injuries.Police investigations into this accident are still ongoing.",{},Sunday,night,2300,0,weekend,Gudja,Triq Dawret il-Gudja,bypass,3.0,car-car-car,3.5,2.5,3.0,14.0,50.0,0.0,1.0,0.0,1.0,0.0,10.0,18.5,23.0,high,1.0,,
29,Times of Malta,Driver stuck in traffic says speeding LESA car shattered his mirror,Emma Borg,07/12/2024,07/12/2024,"A motorist claims his car mirror was shattered by a speeding LESA vehicle that failed to stop after hitting his car while he was stuck in traffic. Frank Xerri De Caro, 78, was driving his Toyota Yaris home after a meeting on Wednesday around 5pm when the accident occurred on the Regional Road, near the St Julian’s tunnels. Heavy traffic had brought vehicles to a near standstill, leaving little room for manoeuvring. As he approached the tunnels next to St Clare’s Convent, Xerri De Caro said he noticed what he then believed to be a police car with sirens blaring in the distance. Attempting to give way, he moved his car closer to the side of the road. “I could tell the car was coming quite close to me but I couldn’t move anymore as I didn’t have more space to,” he explained. Moments later, he said a speeding LESA vehicle struck his right-hand side mirror, shattering it into pieces on the ground. Xerri De Caro described feeling both shocked and frustrated, notably when the car continued without stopping to assess the situation. “I was shocked at that moment but more so frustrated afterwards,” he said, explaining that he had to spend €300 to repair the damage. Xerri De Caro, who shared his experience on social media, initially said his mirror was destroyed by a police car. After filing a police report and speaking with the police on Thursday morning, he noticed he made a mistake and said that it had been a LESA car that hit his mirror.  He took to social media once again to praise the police for their efficient work and thanked them for their assistance.  LESA responded to the matter in question by saying, ""LESA has received no communication regarding this matter from the injured party prior to this media question."" They continued, "" LESA invites the injured party to provide all relevant information so that the necessary checks can be made, in accordance with the usual procedure.""","{Accident,Lesa,National}",Saturday,evening,1700,1,weekend,St Julians,Regional Road,bypass,2.0,car-motorcycle,1.0,0.0,2.0,72.5,78.0,0.0,1.0,1.0,0.0,1.0,10.0,22.2,16.0,no,0.0,,
31,Times of Malta,Motorcyclist seriously hurt in St Paul's Bay bypass crash,Times of Malta,11/12/2024,11/12/2024,"A motorcyclist was rushed to hospital in a critical condition after he smashed into a stationary garbage skip on the St Paul's Bay bypass on Wednesday afternoon. The incident was reported to the police at around 5pm.  A police spokesperson said the man - a 54-year-old English man from Mellieħa - suffered serious injuries and was rushed to Mater Dei Hospital. According to the police, the man lost control of his Honda and crashed into a stationary skip on the bypass.","{Accident,National,""St Paul’S Bay"",Traffic}",Wednesday,evening,1700,1,weekday,St Pauls,St Pauls Bypass,bypass,1.0,motorcycle,1.0,0.0,1.0,54.0,54.0,0.0,1.0,0.0,0.0,0.0,10.0,5.56,15.0,fatal,1.0,,
33,Times of Malta,"Two people, including teenage girl, critically hurt in two separate crashes",Times of Malta,14/12/2024,14/12/2024,"A 29-year-old man and 17-year-old girl were critically injured in two separate traffic accidents on Friday, the police said in two statements. The first incident occurred in MellieÄ§a at around 5.30pm, when the 17-year-old was hit by a Jeep Grand Cherokee on Triq il-Marfa. The Jeep, driven by a 52-year-old Å»ejtun man, smashed into a parked Honda Civic as a result of the incident. The teenage victim was given first aid on site and rushed to Mater Dei Hospital by ambulance to be treated for her serious injuries. Two hours later, police were busy responding to another serious incident in Gudja. A man was fixing a punctured tyre on a Ford Fiesta that stopped on Dawret il-Gudja at around 7.45pm when he was hit by a Skoda Fabia driven by a 50-year-old Gudja resident. The victim, a 29-year-old from BirÅ¼ebbuÄ¡a, ended up squashed between the two vehicles and was seriously injured as a result. He was given first aid and taken to Mater Dei Hospital by ambulance, where he is receiving treatment. Magistrate Ian Farrugia is leading two separate inquiries into the two traffic incidents. Police have also launched their own investigations into the incidents.","{Accident,Mellieħa,National,Traffic}",Friday,evening,1730,1,weekday,Mellieha,Triq il-Marfa,bypass,1.0,car-pedestrian,1.0,1.0,1.0,17.0,52.0,0.0,1.0,0.0,0.0,0.0,10.0,20.4,17.0,med,1.0,,
36,Times of Malta,Motorcyclist seriously injured in Xewkija crash,Times of Malta,16/12/2024,16/12/2024,"A motorcyclist was seriously injured on Sunday night in a crash on Triq l-Imġarr, Xewkija. The police said in a statement the accident was reported at 8.30pm and involved a Toyota Tercel driven by an 86-year-old woman from Xewkija and a Benelli bike driven by a 45-year-old from Sannat. The motorcyclist was rushed to the Gozo General Hospital where he was certified to have suffered serious injuries. Police investigations and a magisterial inquiry are ongoing.","{Accident,Gozo,Health,National,Xewkija}",Sunday,evening,1630,1,weekend,Xewkija,Triq l-Imgarr,main road,2.0,car-motorcycle,1.0,1.0,2.0,45.0,86.0,0.0,1.0,1.0,0.0,1.0,10.0,27.8,15.0,med,1.0,,
37,Times of Malta,"Police officer seriously injured in crash, relatives urge blood donations",Sarah Carabott,16/12/2024,16/12/2024,"Relatives and friends of a police officer who was injured in a tragic accident on Friday are urging people to donate blood as his condition remains serious. Chris Bonello, 29, was fixing a punctured tyre on a Ford Fiesta that stopped on Dawret il-Gudja at around 7.45pm on Friday when he was hit by a Skoda Fabia. He was seriously injured and rushed to Mater Dei Hospital, where he remains on Monday.  Bonello was off-duty during the accident. Close friends confirmed with Times of Malta he was still undergoing serious operations and was being treated in intensive care. His condition remains serious but stable. Several urged social media users to keep the man in their prayers, while others urged people to donate blood. Over the weekend, the Guardamangia Blood Bank said reserves - mainly O positive and A positive - remained low and operations could be cancelled as a result. Concert cancelled Bonello is also a band member of the Società Filarmonica Maria Mater Gratiæ Żabbar, with whom he played the tuba. In solidarity with the victim, the band club has cancelled its Christmas concert, planned for December 18.  The band club too is urging people to donate blood and asked anyone interested to join its members in a blood drive to call 7923 3928.  Among those who took to social media, Żabbar Autofest wished Bonello - one of its founding members - a ""speedy recovery"". ""Our thoughts and prayers are with Chris and his family during this difficult time. Stay strong, Chris, We are all with you."" One of his aunts described the ordeal as a ""time of great pain"". Those who wish to give blood and have any queries should phone 8007 4313 to check if they are eligible. Donors should take their identity card, driving licence or Maltese passport with them. To keep updated, look up National Blood Transfusion Service – Malta on Facebook.","{Accident,Health,National,Police}",Friday,evening,1745,1,weekday,nan,nan,bypass,1.0,car-pedestrian,1.0,0.0,2.0,33.0,52.0,0.0,1.0,0.0,0.0,0.0,10.0,24.1,14.0,high,1.0,,
40,Times of Malta,"Two passenger vans crash, one overturns in Siġġiewi collision",Times of Malta,17/12/2024,17/12/2024,"Updated 6 pm  Two passenger vans crashed in the limit of Siġġiewi on Tuesday afternoon, causing one of them to overturn.  The incident was initially reported by Transport Malta, who in a statement said that the incident involved a minivan carrying school children and that no injuries were reported.  However, when contacted the police said that since the incident was reported at 2.15 pm four people had been taken to Mater Dei Hospital.  Later on Tuesday police were able to confirm that the collision had occurred between a Mercedes Sprinter and a Renault Master on Triq Mons Mikiel Azzopardi.  The Mercedes Sprinter, a school van, was being driven by a 52-year-old man from Għargħur, remained upright and neither the driver nor the passengers were injured.  The Renault Master was being driven by a 46-year-old man from San Ġwann and overturned as a result of the crash.  Four passengers in the van, three women aged 44, 48 and 63 from Siġġiewi and a 43-year-old woman from Rabat were injured and taken to Mater Dei Hospital.  Their condition had not been established at time of writing.  The road has since been reopened to traffic.","{Accident,National,Police,Siġġiewi}",Tuesday,evening,1415,0,weekday,Siggiewi,Triq Mons Mikiel Azzopardi,residential,2.0,van-van,2.0,2.5,2.0,44.0,63.0,0.0,1.0,0.0,0.0,1.0,10.0,16.7,17.0,high,1.0,,
